Longitude,Latitude,Altitude,Time,Speed,points
-110.983176,45.48931,2035.8,0.0,0.394188201126014,"(45.48931, -110.983176)"
-110.98317,45.489338,2035.7,8.0,0.3212448120976252,"(45.489338, -110.98317)"
-110.983215,45.489349,2035.9,23.0,0.19650871698736538,"(45.489349, -110.983215)"
-110.983223,45.489317,2036.0,48.0,0.5088223023839277,"(45.489317, -110.983223)"
-110.98321,45.489287,2036.1,52.0,1.030079715631603,"(45.489287, -110.98321)"
-110.983199,45.489256,2035.9,55.0,0.6827530347408406,"(45.489256, -110.983199)"
-110.983164,45.489233,2035.9,76.0,0.4043698868413922,"(45.489233, -110.983164)"
-110.983208,45.489247,2036.2,82.0,0.4196867248410014,"(45.489247, -110.983208)"
-110.983183,45.489216,2036.0,101.0,0.18817609309877023,"(45.489216, -110.983183)"
-110.983142,45.489232,2035.6,123.00000000000001,0.5512320117682614,"(45.489232, -110.983142)"
-110.983151,45.489265,2035.6,127.00000000000001,0.99325802303221,"(45.489265, -110.983151)"
-110.983163,45.489292,2035.8,130.0,0.7174326529807045,"(45.489292, -110.983163)"
-110.983176,45.489318,2035.8,138.0,0.2908684660993615,"(45.489318, -110.983176)"
-110.983214,45.489308,2036.0,154.0,0.3601126969740228,"(45.489308, -110.983214)"
-110.983239,45.489286,2036.0,160.0,0.6784262274757139,"(45.489286, -110.983239)"
-110.983254,45.48925,2036.0,165.0,0.8490409928327718,"(45.48925, -110.983254)"
-110.983254,45.489219,2035.9,169.0,0.8707640660929187,"(45.489219, -110.983254)"
-110.983268,45.489189,2035.9,173.0,1.1224806434483883,"(45.489189, -110.983268)"
-110.983294,45.489157,2035.9,176.0,1.0962340501514227,"(45.489157, -110.983294)"
-110.983303,45.489128,2035.9,180.0,0.9933943293886153,"(45.489128, -110.983303)"
-110.983309,45.489097,2035.9,183.0,1.5830560098171516,"(45.489097, -110.983309)"
-110.983311,45.489061,2035.9,185.0,1.7076584264117551,"(45.489061, -110.983311)"
-110.983311,45.489023,2035.9,188.0,1.1947572433887936,"(45.489023, -110.983311)"
-110.983273,45.489,2035.9,192.0,0.9769170755486587,"(45.489, -110.983273)"
-110.983273,45.488965,2035.8,196.0,1.3407103128691014,"(45.488965, -110.983273)"
-110.983282,45.488935,2035.7,198.0,1.724517618037515,"(45.488935, -110.983282)"
-110.983288,45.488904,2035.6,200.0,1.5976749551633733,"(45.488904, -110.983288)"
-110.983293,45.488865,2035.5,203.0,1.6903525892549256,"(45.488865, -110.983293)"
-110.983284,45.488831,2035.3,205.0,1.6968421390011745,"(45.488831, -110.983284)"
-110.983275,45.488792,2035.4,208.0,1.597143851104732,"(45.488792, -110.983275)"
-110.983277,45.488761,2035.5,210.0,1.7060314052514909,"(45.488761, -110.983277)"
-110.983282,45.488731,2035.7,212.0,1.584378671984068,"(45.488731, -110.983282)"
-110.983282,45.488691,2035.8,215.0,1.5044292955390222,"(45.488691, -110.983282)"
-110.983276,45.488664,2036.0,217.0,1.498122372390174,"(45.488664, -110.983276)"
-110.983267,45.488625,2036.4,220.0,1.2637043685682317,"(45.488625, -110.983267)"
-110.983261,45.488597,2036.7,223.0,1.1894165926640328,"(45.488597, -110.983261)"
-110.98327,45.488562,2037.0,226.0,1.4207575606585867,"(45.488562, -110.98327)"
-110.983268,45.488535,2037.4,228.0,1.4484290608874812,"(45.488535, -110.983268)"
-110.983265,45.488498,2037.7,231.00000000000003,1.4518295058778872,"(45.488498, -110.983265)"
-110.983264,45.488457,2038.0,234.00000000000003,1.5558935036311181,"(45.488457, -110.983264)"
-110.98325,45.488416,2038.8,237.00000000000003,1.4447371129361475,"(45.488416, -110.98325)"
-110.983224,45.488386,2038.8,240.00000000000003,1.2431962443532458,"(45.488386, -110.983224)"
-110.983209,45.488356,2039.1,243.00000000000003,1.411708522346897,"(45.488356, -110.983209)"
-110.983193,45.488329,2038.7,245.00000000000003,1.4213445448618536,"(45.488329, -110.983193)"
-110.98317,45.488301,2039.0,248.00000000000003,1.2463900286748895,"(45.488301, -110.98317)"
-110.983145,45.488271,2038.9,251.00000000000003,1.3745217864578447,"(45.488271, -110.983145)"
-110.983123,45.488235,2039.3,254.00000000000003,1.769905602508079,"(45.488235, -110.983123)"
-110.983101,45.488201,2039.1,256.0,1.9269944995050472,"(45.488201, -110.983101)"
-110.983077,45.488174,2039.3,258.0,1.8179183207449623,"(45.488174, -110.983077)"
-110.983051,45.488146,2039.1,260.0,1.7375309707758801,"(45.488146, -110.983051)"
-110.983036,45.488119,2039.1,262.0,1.5059181166753772,"(45.488119, -110.983036)"
-110.983016,45.488084,2039.1,265.0,1.28219437397834,"(45.488084, -110.983016)"
-110.982999,45.488055,2039.3,268.0,1.182381880882907,"(45.488055, -110.982999)"
-110.982979,45.488026,2039.0,271.0,1.3544527943698057,"(45.488026, -110.982979)"
-110.982968,45.488,2039.0,273.0,1.3563023904674487,"(45.488, -110.982968)"
-110.982961,45.487968,2039.2,276.0,1.2443705580661064,"(45.487968, -110.982961)"
-110.982953,45.487934,2039.6,279.0,1.2904926091234779,"(45.487934, -110.982953)"
-110.982942,45.4879,2039.4,282.0,1.3244862748008508,"(45.4879, -110.982942)"
-110.982934,45.487864,2039.6,285.0,1.2715801762998995,"(45.487864, -110.982934)"
-110.982923,45.487833,2039.9,288.0,1.3693826120150239,"(45.487833, -110.982923)"
-110.982913,45.487792,2040.3,291.0,1.588069607387582,"(45.487792, -110.982913)"
-110.982914,45.487763,2040.7,293.0,1.3373846577862434,"(45.487763, -110.982914)"
-110.982915,45.487735,2041.1,296.0,1.0786932133734362,"(45.487735, -110.982915)"
-110.982908,45.487706,2041.7,299.0,1.2265188323711205,"(45.487706, -110.982908)"
-110.982924,45.487672,2042.3,302.0,0.9065380817912809,"(45.487672, -110.982924)"
-110.982978,45.487671,2042.6,311.0,1.1572878422470958,"(45.487671, -110.982978)"
-110.983022,45.487683,2042.8,313.0,1.6705043848772292,"(45.487683, -110.983022)"
-110.983078,45.487691,2043.3,316.0,1.2541604115721876,"(45.487691, -110.983078)"
-110.983114,45.487701,2043.0,319.0,1.147726074307323,"(45.487701, -110.983114)"
-110.983153,45.487722,2043.3,322.0,1.3283033819143304,"(45.487722, -110.983153)"
-110.983165,45.487758,2043.1,325.0,1.36337028637534,"(45.487758, -110.983165)"
-110.983187,45.487791,2042.9,328.0,1.213434525002563,"(45.487791, -110.983187)"
-110.983221,45.487807,2043.3,331.0,1.182360232441336,"(45.487807, -110.983221)"
-110.983265,45.487823,2043.5,334.0,1.6113036684139805,"(45.487823, -110.983265)"
-110.98331,45.487837,2043.9,336.0,1.7730168384615024,"(45.487837, -110.98331)"
-110.983349,45.487846,2044.3,338.0,1.3248977632958483,"(45.487846, -110.983349)"
-110.983384,45.487859,2044.6,341.0,1.406177588782244,"(45.487859, -110.983384)"
-110.983429,45.487861,2045.1,343.0,1.5012936766354612,"(45.487861, -110.983429)"
-110.983472,45.487874,2045.5,346.0,0.9070228094030421,"(45.487874, -110.983472)"
-110.983522,45.487863,2046.0,353.0,1.0732392044611816,"(45.487863, -110.983522)"
-110.983565,45.487834,2046.4,356.0,1.7427120139574819,"(45.487834, -110.983565)"
-110.983605,45.487814,2046.8,358.0,1.5785329090540832,"(45.487814, -110.983605)"
-110.983648,45.487801,2047.3,361.0,1.3712450457072731,"(45.487801, -110.983648)"
-110.983686,45.487804,2047.8,363.0,1.3642055794890697,"(45.487804, -110.983686)"
-110.983729,45.487792,2048.3,366.0,1.4982339057919927,"(45.487792, -110.983729)"
-110.983771,45.48778,2048.7,368.0,1.6661232606614718,"(45.48778, -110.983771)"
-110.98381,45.487783,2049.2,370.0,1.2893596213409195,"(45.487783, -110.98381)"
-110.983847,45.487792,2049.6,373.0,1.240491634257387,"(45.487792, -110.983847)"
-110.983901,45.487801,2050.1,376.0,1.3040732197090423,"(45.487801, -110.983901)"
-110.983941,45.487814,2050.5,379.0,1.19737772852281,"(45.487814, -110.983941)"
-110.983987,45.487806,2050.9,382.0,1.286812088080301,"(45.487806, -110.983987)"
-110.984032,45.487789,2051.2,385.0,1.1796900044412744,"(45.487789, -110.984032)"
-110.984076,45.487809,2051.5,389.0,1.2613979008795044,"(45.487809, -110.984076)"
-110.984109,45.487842,2051.7,392.0,1.4851714525137925,"(45.487842, -110.984109)"
-110.98413,45.487864,2051.7,394.0,1.6602533326554578,"(45.487864, -110.98413)"
-110.984135,45.487897,2051.7,396.0,1.8715765761508742,"(45.487897, -110.984135)"
-110.984138,45.487931,2051.7,398.0,1.6386239242571041,"(45.487931, -110.984138)"
-110.984165,45.487963,2051.9,401.0,1.4209422762184039,"(45.487963, -110.984165)"
-110.984218,45.487976,2051.9,404.0,1.7065786507426068,"(45.487976, -110.984218)"
-110.984268,45.487977,2052.0,406.0,2.124484224216278,"(45.487977, -110.984268)"
-110.984326,45.487984,2052.0,408.0,2.3017047024567487,"(45.487984, -110.984326)"
-110.984383,45.487995,2052.0,410.0,2.370094134974909,"(45.487995, -110.984383)"
-110.984445,45.487998,2051.6,412.0,2.3098587601597638,"(45.487998, -110.984445)"
-110.984501,45.487999,2051.5,414.0,2.1080685090669915,"(45.487999, -110.984501)"
-110.984553,45.487999,2051.4,416.0,1.7277431832139238,"(45.487999, -110.984553)"
-110.984607,45.487993,2051.7,419.0,1.428023551856226,"(45.487993, -110.984607)"
-110.984654,45.487973,2051.7,422.0,1.5868459540395792,"(45.487973, -110.984654)"
-110.98469,45.487955,2052.2,424.0,1.6231882868885221,"(45.487955, -110.98469)"
-110.984721,45.487939,2052.3,426.0,1.503278953034103,"(45.487939, -110.984721)"
-110.984778,45.487934,2052.8,429.0,2.542015025279928,"(45.487934, -110.984778)"
-110.984823,45.48794,2052.6,430.0,2.4731261881070044,"(45.48794, -110.984823)"
-110.984861,45.487915,2053.1,433.0,1.6629613158300622,"(45.487915, -110.984861)"
-110.984865,45.48788,2053.4,435.0,1.877042870610996,"(45.48788, -110.984865)"
-110.984863,45.487848,2053.8,437.0,1.511907482688592,"(45.487848, -110.984863)"
-110.984838,45.48782,2054.1,440.0,1.1120856170561189,"(45.48782, -110.984838)"
-110.98483,45.487785,2054.6,444.0,1.2957716794397491,"(45.487785, -110.98483)"
-110.984829,45.487742,2054.8,447.0,1.3403611885017406,"(45.487742, -110.984829)"
-110.984826,45.487713,2055.1,450.0,0.8881614822244872,"(45.487713, -110.984826)"
-110.984826,45.487682,2055.4,455.0,0.7581619930191512,"(45.487682, -110.984826)"
-110.984818,45.487653,2055.6,459.00000000000006,1.0619886994890855,"(45.487653, -110.984818)"
-110.984818,45.487618,2055.8,462.00000000000006,1.3067811179642694,"(45.487618, -110.984818)"
-110.984811,45.487583,2056.0,465.00000000000006,1.2298588040835372,"(45.487583, -110.984811)"
-110.984796,45.487554,2056.2,468.00000000000006,0.9600045160842721,"(45.487554, -110.984796)"
-110.984782,45.487528,2056.2,472.00000000000006,1.0415935617754346,"(45.487528, -110.984782)"
-110.984776,45.487493,2056.4,475.00000000000006,1.4238934219009156,"(45.487493, -110.984776)"
-110.984783,45.487452,2056.8,478.00000000000006,1.2137762205542952,"(45.487452, -110.984783)"
-110.984764,45.487423,2057.0,482.00000000000006,0.9976655352935893,"(45.487423, -110.984764)"
-110.984755,45.487394,2057.3,485.00000000000006,1.1108240169441697,"(45.487394, -110.984755)"
-110.984752,45.487354,2057.5,489.00000000000006,1.0754757066865142,"(45.487354, -110.984752)"
-110.984742,45.487327,2057.5,492.00000000000006,1.4031469545078776,"(45.487327, -110.984742)"
-110.98475,45.487296,2058.0,494.00000000000006,2.1884127442680215,"(45.487296, -110.98475)"
-110.984768,45.487251,2058.3,496.00000000000006,3.1865600129661313,"(45.487251, -110.984768)"
-110.984778,45.487218,2058.6,497.00000000000006,3.571576073424664,"(45.487218, -110.984778)"
-110.984783,45.487188,2058.9,498.00000000000006,2.777359304999431,"(45.487188, -110.984783)"
-110.984773,45.48715,2059.6,500.00000000000006,1.7218058372477585,"(45.48715, -110.984773)"
-110.984762,45.487117,2060.0,503.00000000000006,1.6336638196822024,"(45.487117, -110.984762)"
-110.984746,45.487083,2060.4,505.00000000000006,1.9403843588869552,"(45.487083, -110.984746)"
-110.984727,45.487052,2060.4,507.00000000000006,1.6189369939741347,"(45.487052, -110.984727)"
-110.984718,45.487016,2060.7,510.00000000000006,1.242549352103909,"(45.487016, -110.984718)"
-110.984713,45.486986,2061.0,513.0,1.306877470778218,"(45.486986, -110.984713)"
-110.984715,45.486946,2061.3,516.0,1.511658574085799,"(45.486946, -110.984715)"
-110.984708,45.486919,2061.6,518.0,1.322744522066253,"(45.486919, -110.984708)"
-110.984687,45.486893,2061.4,521.0,1.0587932558162336,"(45.486893, -110.984687)"
-110.984666,45.48686,2061.6,525.0,1.1150503928251854,"(45.48686, -110.984666)"
-110.984655,45.486828,2061.4,528.0,1.1772808723768842,"(45.486828, -110.984655)"
-110.984625,45.486806,2061.6,531.0,1.1101762714585115,"(45.486806, -110.984625)"
-110.98459,45.48679,2061.4,534.0,1.1053221452652426,"(45.48679, -110.98459)"
-110.984571,45.486763,2061.1,537.0,1.2488731187937394,"(45.486763, -110.984571)"
-110.984547,45.48673,2061.3,540.0,1.3727148634638988,"(45.48673, -110.984547)"
-110.98451,45.486704,2060.9,543.0,1.5662443166567375,"(45.486704, -110.98451)"
-110.984492,45.486675,2061.1,545.0,1.8063282848610978,"(45.486675, -110.984492)"
-110.984488,45.486642,2061.4,547.0,1.7106112644231133,"(45.486642, -110.984488)"
-110.984487,45.486614,2061.0,549.0,1.463689844198689,"(45.486614, -110.984487)"
-110.984479,45.486578,2061.3,552.0,1.4918549116094626,"(45.486578, -110.984479)"
-110.984467,45.48655,2061.4,554.0,1.6791047950092057,"(45.48655, -110.984467)"
-110.984464,45.486519,2061.5,556.0,1.7663852485906504,"(45.486519, -110.984464)"
-110.984471,45.486487,2061.6,558.0,1.5591740281717414,"(45.486487, -110.984471)"
-110.984479,45.486452,2061.7,561.0,1.4232122885934255,"(45.486452, -110.984479)"
-110.984472,45.486425,2061.9,563.0,1.3533970460949711,"(45.486425, -110.984472)"
-110.984441,45.486402,2061.7,566.0,1.3931897301790959,"(45.486402, -110.984441)"
-110.984416,45.486379,2061.8,568.0,1.6640012926509273,"(45.486379, -110.984416)"
-110.984401,45.48635,2061.7,570.0,1.8657799950545442,"(45.48635, -110.984401)"
-110.984396,45.486314,2061.8,572.0,1.7756920099070075,"(45.486314, -110.984396)"
-110.984373,45.486276,2062.2,575.0,1.6028146912465262,"(45.486276, -110.984373)"
-110.984344,45.486254,2062.1,577.0,1.454816306122849,"(45.486254, -110.984344)"
-110.984318,45.486226,2062.3,580.0,1.4796255229464257,"(45.486226, -110.984318)"
-110.984303,45.486197,2062.4,582.0,1.5330843995285586,"(45.486197, -110.984303)"
-110.984272,45.486168,2062.7,585.0,1.259839679003985,"(45.486168, -110.984272)"
-110.984249,45.486141,2063.0,588.0,1.2399808907724583,"(45.486141, -110.984249)"
-110.984232,45.486108,2063.4,591.0,1.2491556726285862,"(45.486108, -110.984232)"
-110.984221,45.486077,2063.7,594.0,1.3526132675763152,"(45.486077, -110.984221)"
-110.984207,45.486052,2064.2,596.0,1.4874976934820217,"(45.486052, -110.984207)"
-110.984164,45.486027,2064.6,599.0,1.3620774730332226,"(45.486027, -110.984164)"
-110.984118,45.486016,2064.5,602.0,1.3707798865694374,"(45.486016, -110.984118)"
-110.984074,45.485991,2064.8,605.0,1.6849346712704079,"(45.485991, -110.984074)"
-110.984032,45.485974,2064.9,607.0,1.5362955028264462,"(45.485974, -110.984032)"
-110.984004,45.485949,2064.9,610.0,1.1019368596892352,"(45.485949, -110.984004)"
-110.983973,45.485932,2065.0,613.0,1.0621915475081605,"(45.485932, -110.983973)"
-110.983935,45.485919,2065.0,616.0,1.0611374475571704,"(45.485919, -110.983935)"
-110.9839,45.485907,2064.6,619.0,0.9582313865547794,"(45.485907, -110.9839)"
-110.983868,45.485884,2064.6,623.0,0.9775642612544144,"(45.485884, -110.983868)"
-110.983857,45.485857,2065.2,626.0,1.144422991125014,"(45.485857, -110.983857)"
-110.983849,45.485825,2065.9,629.0,1.269097736646198,"(45.485825, -110.983849)"
-110.983837,45.485791,2066.4,632.0,1.150325098845383,"(45.485791, -110.983837)"
-110.983825,45.485757,2067.1,636.0,0.8381647461901651,"(45.485757, -110.983825)"
-110.983809,45.485729,2067.8,641.0,0.763400299723698,"(45.485729, -110.983809)"
-110.983815,45.485692,2068.5,646.0,1.4493566230550716,"(45.485692, -110.983815)"
-110.983823,45.485656,2069.2,648.0,1.3794692122450387,"(45.485656, -110.983823)"
-110.983814,45.485626,2070.0,653.0,1.0205831528065852,"(45.485626, -110.983814)"
-110.983823,45.485591,2070.7,656.0,1.4693082175545975,"(45.485591, -110.983823)"
-110.983833,45.485551,2072.3,659.0,1.58105337826965,"(45.485551, -110.983833)"
-110.983844,45.485511,2073.5,662.0,1.6570328850472307,"(45.485511, -110.983844)"
-110.98384,45.48548,2074.0,664.0,1.9642336342727038,"(45.48548, -110.98384)"
